Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
QB,Dak Prescott (19363324),Dak Prescott,19363324,CPT,16800,PHI@DAL 09/27/2021 08:15PM ET,DAL,19.95
QB,Jalen Hurts (19363325),Jalen Hurts,19363325,CPT,16500,PHI@DAL 09/27/2021 08:15PM ET,PHI,25.28
WR,CeeDee Lamb (19363326),CeeDee Lamb,19363326,CPT,14700,PHI@DAL 09/27/2021 08:15PM ET,DAL,21.9
WR,Amari Cooper (19363327),Amari Cooper,19363327,CPT,13500,PHI@DAL 09/27/2021 08:15PM ET,DAL,23.65
RB,Ezekiel Elliott (19363328),Ezekiel Elliott,19363328,CPT,12600,PHI@DAL 09/27/2021 08:15PM ET,DAL,11.8
RB,Miles Sanders (19363329),Miles Sanders,19363329,CPT,12000,PHI@DAL 09/27/2021 08:15PM ET,PHI,12.1
RB,Tony Pollard (19363330),Tony Pollard,19363330,CPT,11400,PHI@DAL 09/27/2021 08:15PM ET,DAL,17.15
QB,Dak Prescott (19363269),Dak Prescott,19363269,FLEX,11200,PHI@DAL 09/27/2021 08:15PM ET,DAL,19.95
QB,Jalen Hurts (19363270),Jalen Hurts,19363270,FLEX,11000,PHI@DAL 09/27/2021 08:15PM ET,PHI,25.28
WR,DeVonta Smith (19363331),DeVonta Smith,19363331,CPT,10800,PHI@DAL 09/27/2021 08:15PM ET,PHI,11.35
TE,Dallas Goedert (19363332),Dallas Goedert,19363332,CPT,9900,PHI@DAL 09/27/2021 08:15PM ET,PHI,9.3
WR,CeeDee Lamb (19363271),CeeDee Lamb,19363271,FLEX,9800,PHI@DAL 09/27/2021 08:15PM ET,DAL,21.9
WR,Jalen Reagor (19363333),Jalen Reagor,19363333,CPT,9300,PHI@DAL 09/27/2021 08:15PM ET,PHI,9.7
WR,Amari Cooper (19363272),Amari Cooper,19363272,FLEX,9000,PHI@DAL 09/27/2021 08:15PM ET,DAL,23.65
QB,Ben DiNucci (19363334),Ben DiNucci,19363334,CPT,9000,PHI@DAL 09/27/2021 08:15PM ET,DAL,0
QB,Cooper Rush (19363335),Cooper Rush,19363335,CPT,9000,PHI@DAL 09/27/2021 08:15PM ET,DAL,0
QB,Gardner Minshew II (19363336),Gardner Minshew II,19363336,CPT,9000,PHI@DAL 09/27/2021 08:15PM ET,PHI,0
QB,Will Grier (19363337),Will Grier,19363337,CPT,9000,PHI@DAL 09/27/2021 08:15PM ET,DAL,0
QB,Joe Flacco (19363338),Joe Flacco,19363338,CPT,9000,PHI@DAL 09/27/2021 08:15PM ET,PHI,0
RB,Ezekiel Elliott (19363273),Ezekiel Elliott,19363273,FLEX,8400,PHI@DAL 09/27/2021 08:15PM ET,DAL,11.8
WR,Quez Watkins (19363339),Quez Watkins,19363339,CPT,8100,PHI@DAL 09/27/2021 08:15PM ET,PHI,11
