,Name,Pos.,Height,From,To,Seasons
0,Precious Achiuwa,C/PF,2.06/ 6'9'',2020,2021,1
1,Steven Adams,C,2.11/ 6'11'',2013,2021,8
2,Bam Adebayo,C,2.06/ 6'9'',2017,2021,4
4,LaMarcus Aldridge,C/PF,2.11/ 6'11'',2006,2021,15
5,Nickeil Alexander-Walker,SG/PG,1.96/ 6'5'',2019,2021,2
6,Grayson Allen,SG,1.93/ 6'4'',2018,2021,3
7,Jarrett Allen,C,2.11/ 6'11'',2017,2021,4
9,Al-Farouq Aminu,PF/SF,2.03/ 6'8'',2010,2021,11
10,Kyle Anderson,SF/PF,2.06/ 6'9'',2014,2021,7
11,Giannis Antetokounmpo,PF,2.11/ 6'11'',2013,2021,8
12,Thanasis Antetokounmpo,PF/SF,1.98/ 6'6'',2015,2021,3
13,Carmelo Anthony,PF/SF,2.03/ 6'8'',2003,2021,18
14,Cole Anthony,PG,1.91/ 6'3'',2020,2021,1
15,OG Anunoby,SF/PF,2.01/ 6'7'',2017,2021,4
16,Trevor Ariza,SF/PF,2.03/ 6'8'',2004,2021,17
17,D.J. Augustin,PG,1.80/ 5'11'',2008,2021,13
18,Deni Avdija,PF/SF,2.05/ 6'9'',2020,2021,1
20,Deandre Ayton,C,2.11/ 6'11'',2018,2021,3
21,Udoka Azubuike,C,2.13/ 7'0'',2020,2021,1
0,Dwayne Bacon,SF/SG,2.01/ 6'7'',2017,2021,4
1,Marvin Bagley III,PF/C,2.11/ 6'11'',2018,2021,3
2,LaMelo Ball,PG/SG,2.01/ 6'7'',2020,2021,1
3,Lonzo Ball,PG,1.98/ 6'6'',2017,2021,4
4,Mo Bamba,C,2.13/ 7'0'',2018,2021,3
5,Desmond Bane,SF/SG,1.98/ 6'6'',2020,2021,1
7,Harrison Barnes,SF/PF,2.03/ 6'8'',2012,2021,9
9,RJ Barrett,SF/SG,1.98/ 6'6'',2019,2021,2
10,Will Barton,SG/SF,1.96/ 6'5'',2012,2021,9
11,Keita Bates-Diop,SF/PF,2.03/ 6'8'',2018,2021,3
12,Nicolas Batum,PF/SF,2.04/ 6'8'',2008,2021,13
13,Kent Bazemore,SF/SG,1.93/ 6'4'',2012,2021,9
14,Darius Bazley,PF,2.03/ 6'8'',2019,2021,2
15,Bradley Beal,SG/SF,1.91/ 6'3'',2012,2021,9
16,Malik Beasley,SG/SF,1.93/ 6'4'',2016,2021,5
17,DeAndre' Bembry,SF,1.96/ 6'5'',2016,2021,5
18,Davis Bertans,SF/PF,2.08/ 6'10'',2016,2021,5
19,Patrick Beverley,PG,1.85/ 6'1'',2012,2021,9
20,Saddiq Bey,SF/PF,2.03/ 6'8'',2020,2021,1
21,Tyler Bey,SG/SF,2.01/ 6'7'',2020,2021,1
22,Khem Birch,C,2.06/ 6'9'',2017,2021,4
23,Goga Bitadze,C,2.11/ 6'11'',2019,2021,2
24,Nemanja Bjelica,C/PF,2.09/ 6'10'',2015,2021,6
25,Eric Bledsoe,PG/SG,1.85/ 6'1'',2010,2021,11
26,Bogdan Bogdanovic,SG/SF,1.98/ 6'6'',2017,2021,4
27,Bojan Bogdanovic,SF/PF,2.03/ 6'8'',2014,2021,7
28,Bol Bol,C/PF,2.18/ 7'2'',2019,2021,2
30,Isaac Bonga,SF/PF,2.03/ 6'8'',2018,2021,3
31,Devin Booker,SG,1.96/ 6'5'',2015,2021,6
33,Chris Boucher,C/PF,2.06/ 6'9'',2017,2021,4
35,Tony Bradley,C,2.08/ 6'10'',2017,2021,4
36,Ignas Brazdeikis,SF/PF,1.98/ 6'6'',2019,2021,2
37,Mikal Bridges,SF/SG,1.98/ 6'6'',2018,2021,3
38,Miles Bridges,PF/SF,1.98/ 6'6'',2018,2021,3
39,Oshae Brissett,PF,2.01/ 6'7'',2019,2021,2
40,Malcolm Brogdon,PG/SG,1.96/ 6'5'',2016,2021,5
41,Armoni Brooks,PG/SG,1.91/ 6'3'',2020,2021,1
42,Dillon Brooks,SG/SF,2.01/ 6'7'',2017,2021,4
43,Bruce Brown,SG/SF,1.93/ 6'4'',2018,2021,3
44,Charlie Brown,SG/SF,1.98/ 6'6'',2019,2021,2
46,Jaylen Brown,SF/SG,1.98/ 6'6'',2016,2021,5
47,Moses Brown,C,2.18/ 7'2'',2019,2021,2
48,Sterling Brown,SG/SF,1.96/ 6'5'',2017,2021,4
49,Troy Brown,PF/SF,1.98/ 6'6'',2018,2021,3
50,Jalen Brunson,PG/SG,1.85/ 6'1'',2018,2021,3
51,Elijah Bryant,SG,1.96/ 6'5'',2020,2021,1
52,Thomas Bryant,C,2.08/ 6'10'',2017,2021,4
53,Reggie Bullock,SF/SG,1.98/ 6'6'',2013,2021,8
54,Trey Burke,PG,1.84/ 6'0'',2013,2021,8
55,Alec Burks,SF/SG,1.98/ 6'6'',2011,2021,10
57,Jimmy Butler,SF/PF,2.01/ 6'7'',2011,2021,10
0,Devontae Cacok,PF/C,2.01/ 6'7'',2019,2021,2
1,Kentavious Caldwell-Pope,SG/SF,1.96/ 6'5'',2013,2021,8
2,Facundo Campazzo,PG,1.81/ 5'11'',2020,2021,1
3,Vlatko Cancar,SF/PF,2.04/ 6'8'',2019,2021,2
4,Clint Capela,C,2.08/ 6'10'',2014,2021,7
5,Vernon Carey Jr.,C,2.08/ 6'10'',2020,2021,1
6,Jevon Carter,PG/SG,1.85/ 6'1'',2018,2021,3
7,Wendell Carter Jr.,C,2.06/ 6'9'',2018,2021,3
8,Michael Carter-Williams,PG/SG,1.96/ 6'5'',2013,2021,8
