,Unnamed: 0_x,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,PlayerName,summation,DoubleDigitPoints,DoubleDigitAssists,DoubleDigitRebounds,DoubleDigitSteals,DoubleDigitBlocks,DoubleDouble,TripleDouble,DDPoints,TDPoints,DraftKingTotals,PlayerFullName,Unnamed: 0_y,DK Sal,Minutes,First  Last
8828,0.0,1.0,1.0,2020-12-22,35-358,LAL,,LAC,L (-7),1.0,,7.0,17.0,0.412,3.0,8.0,0.375,5.0,7.0,0.714,2.0,3.0,5.0,5.0,0.0,0.0,4.0,2.0,22.0,13.1,2.0,J/JamesLe01,35.25,1.0,0.0,0.0,0.0,0.0,False,False,0.0,0.0,35.25,LeBronJames,3000.0,9600.0,28.35,LeBron James
8829,1.0,2.0,2.0,2020-12-25,35-361,LAL,,DAL,W (+23),1.0,,8.0,18.0,0.444,3.0,8.0,0.375,3.0,4.0,0.75,1.0,6.0,7.0,10.0,1.0,0.0,4.0,0.0,22.0,18.7,16.0,J/JamesLe01,47.25,1.0,1.0,0.0,0.0,0.0,True,False,1.5,0.0,48.75,LeBronJames,2999.0,10000.0,31.4,LeBron James
8830,2.0,3.0,3.0,2020-12-27,35-363,LAL,,MIN,W (+36),1.0,,6.0,13.0,0.462,1.0,5.0,0.2,5.0,7.0,0.714,0.0,9.0,9.0,5.0,1.0,0.0,4.0,1.0,18.0,13.3,16.0,J/JamesLe01,37.25,1.0,0.0,0.0,0.0,0.0,False,False,0.0,0.0,37.25,LeBronJames,2998.0,10000.0,26.2,LeBron James
8831,3.0,4.0,4.0,2020-12-28,35-364,LAL,,POR,L (-8),1.0,,11.0,20.0,0.55,3.0,7.0,0.429,4.0,5.0,0.8,2.0,7.0,9.0,6.0,2.0,1.0,3.0,2.0,29.0,25.6,0.0,J/JamesLe01,55.25,1.0,0.0,0.0,0.0,0.0,False,False,0.0,0.0,55.25,LeBronJames,2997.0,10000.0,35.91666667,LeBron James
8832,4.0,5.0,5.0,2020-12-30,36-000,LAL,@,SAS,W (+14),1.0,,11.0,23.0,0.478,1.0,3.0,0.333,3.0,5.0,0.6,0.0,5.0,5.0,8.0,1.0,1.0,2.0,1.0,26.0,19.9,-1.0,J/JamesLe01,47.75,1.0,0.0,0.0,0.0,0.0,False,False,0.0,0.0,47.75,LeBronJames,2996.0,9800.0,35.21666667,LeBron James
8833,5.0,6.0,6.0,2021-01-01,36-002,LAL,@,SAS,W (+6),1.0,,8.0,22.0,0.364,3.0,7.0,0.429,7.0,7.0,1.0,1.0,10.0,11.0,10.0,2.0,0.0,4.0,0.0,26.0,22.5,18.0,J/JamesLe01,58.25,1.0,1.0,1.0,0.0,0.0,True,True,1.5,3.0,62.75,LeBronJames,2995.0,10000.0,35.68333333,LeBron James
8834,6.0,7.0,7.0,2021-01-03,36-004,LAL,@,MEM,W (+14),1.0,,9.0,16.0,0.563,3.0,6.0,0.5,1.0,3.0,0.333,0.0,13.0,13.0,8.0,1.0,0.0,2.0,2.0,22.0,21.3,19.0,J/JamesLe01,52.75,1.0,0.0,1.0,0.0,0.0,True,False,1.5,0.0,54.25,LeBronJames,2994.0,10100.0,32.0,LeBron James
8835,7.0,8.0,8.0,2021-01-05,36-006,LAL,@,MEM,W (+2),1.0,,11.0,20.0,0.55,1.0,4.0,0.25,3.0,3.0,1.0,2.0,10.0,12.0,7.0,1.0,1.0,6.0,0.0,26.0,21.4,20.0,J/JamesLe01,53.0,1.0,0.0,1.0,0.0,0.0,True,False,1.5,0.0,54.5,LeBronJames,2993.0,10100.0,34.08333333,LeBron James
8836,8.0,9.0,9.0,2021-01-07,36-008,LAL,,SAS,L (-9),1.0,,8.0,15.0,0.533,4.0,7.0,0.571,7.0,11.0,0.636,0.0,6.0,6.0,12.0,0.0,0.0,4.0,3.0,27.0,23.1,-10.0,J/JamesLe01,52.5,1.0,1.0,0.0,0.0,0.0,True,False,1.5,0.0,54.0,LeBronJames,2992.0,10000.0,34.9,LeBron James
8837,9.0,10.0,10.0,2021-01-08,36-009,LAL,,CHI,W (+2),1.0,,11.0,21.0,0.524,0.0,5.0,0.0,6.0,8.0,0.75,0.0,7.0,7.0,7.0,0.0,0.0,4.0,1.0,28.0,19.5,9.0,J/JamesLe01,45.25,1.0,0.0,0.0,0.0,0.0,False,False,0.0,0.0,45.25,LeBronJames,2991.0,10300.0,34.15,LeBron James
8838,10.0,11.0,11.0,2021-01-10,36-011,LAL,@,HOU,W (+18),1.0,,7.0,15.0,0.467,1.0,6.0,0.167,3.0,6.0,0.5,1.0,6.0,7.0,7.0,1.0,1.0,2.0,2.0,18.0,15.4,10.0,J/JamesLe01,40.75,1.0,0.0,0.0,0.0,0.0,False,False,0.0,0.0,40.75,LeBronJames,2990.0,10200.0,30.35,LeBron James
8839,11.0,12.0,12.0,2021-01-12,36-013,LAL,@,HOU,W (+17),1.0,,10.0,20.0,0.5,4.0,9.0,0.444,2.0,4.0,0.5,1.0,7.0,8.0,5.0,0.0,1.0,5.0,0.0,26.0,17.2,15.0,J/JamesLe01,45.0,1.0,0.0,0.0,0.0,0.0,False,False,0.0,0.0,45.0,LeBronJames,2989.0,10000.0,29.18333333,LeBron James
8840,12.0,13.0,13.0,2021-01-13,36-014,LAL,@,OKC,W (+29),1.0,,9.0,20.0,0.45,5.0,8.0,0.625,3.0,4.0,0.75,0.0,6.0,6.0,7.0,0.0,0.0,2.0,2.0,26.0,19.1,14.0,J/JamesLe01,45.5,1.0,0.0,0.0,0.0,0.0,False,False,0.0,0.0,45.5,LeBronJames,2988.0,9600.0,27.48333333,LeBron James
8841,13.0,14.0,14.0,2021-01-15,36-016,LAL,,NOP,W (+17),1.0,,6.0,11.0,0.545,2.0,6.0,0.333,7.0,7.0,1.0,1.0,7.0,8.0,11.0,1.0,0.0,3.0,3.0,21.0,23.0,14.0,J/JamesLe01,49.0,1.0,1.0,0.0,0.0,0.0,True,False,1.5,0.0,50.5,LeBronJames,2987.0,9700.0,30.5,LeBron James
8842,14.0,15.0,15.0,2021-01-18,36-019,LAL,,GSW,L (-2),1.0,,6.0,16.0,0.375,2.0,7.0,0.286,5.0,8.0,0.625,0.0,5.0,5.0,5.0,1.0,0.0,5.0,1.0,19.0,9.6,-9.0,J/JamesLe01,33.25,1.0,0.0,0.0,0.0,0.0,False,False,0.0,0.0,33.25,LeBronJames,2986.0,9700.0,37.96666667,LeBron James
8843,15.0,16.0,16.0,2021-01-21,36-022,LAL,@,MIL,W (+7),1.0,,13.0,25.0,0.52,6.0,10.0,0.6,2.0,2.0,1.0,1.0,5.0,6.0,8.0,1.0,1.0,3.0,2.0,34.0,27.4,15.0,J/JamesLe01,59.0,1.0,0.0,0.0,0.0,0.0,False,False,0.0,0.0,59.0,LeBronJames,2985.0,9200.0,38.06666667,LeBron James
8844,16.0,17.0,17.0,2021-01-23,36-024,LAL,@,CHI,W (+11),1.0,,6.0,16.0,0.375,0.0,2.0,0.0,5.0,8.0,0.625,0.0,11.0,11.0,6.0,2.0,0.0,6.0,1.0,17.0,10.1,9.0,J/JamesLe01,40.75,1.0,0.0,1.0,0.0,0.0,True,False,1.5,0.0,42.25,LeBronJames,2984.0,9400.0,28.5,LeBron James
8845,17.0,18.0,18.0,2021-01-25,36-026,LAL,@,CLE,W (+7),1.0,,19.0,26.0,0.731,7.0,11.0,0.636,1.0,2.0,0.5,0.0,8.0,8.0,6.0,2.0,2.0,3.0,1.0,46.0,41.6,11.0,J/JamesLe01,75.0,1.0,0.0,0.0,0.0,0.0,False,False,0.0,0.0,75.0,LeBronJames,2983.0,9300.0,38.11666667,LeBron James
8846,18.0,19.0,19.0,2021-01-27,36-028,LAL,@,PHI,L (-1),1.0,,12.0,22.0,0.545,2.0,5.0,0.4,8.0,11.0,0.727,0.0,6.0,6.0,7.0,0.0,0.0,3.0,3.0,34.0,24.7,3.0,J/JamesLe01,51.5,1.0,0.0,0.0,0.0,0.0,False,False,0.0,0.0,51.5,LeBronJames,2982.0,9900.0,38.53333333,LeBron James
8847,19.0,20.0,20.0,2021-01-28,36-029,LAL,@,DET,L (-15),1.0,,8.0,19.0,0.421,4.0,8.0,0.5,2.0,3.0,0.667,2.0,5.0,7.0,10.0,1.0,0.0,2.0,2.0,22.0,19.6,-11.0,J/JamesLe01,48.75,1.0,1.0,0.0,0.0,0.0,True,False,1.5,0.0,50.25,LeBronJames,2981.0,10400.0,35.75,LeBron James
8848,21.0,21.0,21.0,2021-01-30,36-031,LAL,@,BOS,W (+1),1.0,,7.0,17.0,0.412,4.0,11.0,0.364,3.0,5.0,0.6,1.0,6.0,7.0,7.0,0.0,1.0,5.0,3.0,21.0,13.0,11.0,J/JamesLe01,41.75,1.0,0.0,0.0,0.0,0.0,False,False,0.0,0.0,41.75,LeBronJames,2980.0,10300.0,37.35,LeBron James
8849,22.0,22.0,22.0,2021-02-01,36-033,LAL,@,ATL,W (+8),1.0,,5.0,12.0,0.417,2.0,6.0,0.333,9.0,11.0,0.818,0.0,7.0,7.0,9.0,2.0,1.0,2.0,0.0,21.0,22.9,10.0,J/JamesLe01,49.25,1.0,0.0,0.0,0.0,0.0,False,False,0.0,0.0,49.25,LeBronJames,2979.0,10200.0,37.96666667,LeBron James
