,PlayerCode,PlayerName
0,A/AchiuPr01,Precious Achiuwa
1,A/AchiuPr01,Precious Achiuwa
2,A/AdamsSt01,Steven Adams 
3,A/AdebaBa01,Bam Adebayo 
4,A/AldriLa01,LaMarcus Aldridge 
5,A/AlexaNi01,Nickeil Alexander-Walker 
6,A/AllenGr01,Grayson Allen 
7,A/AllenJa01,Jarrett Allen 
8,A/AminuAl01,Al-Farouq Aminu 
9,A/AnderKy01,Kyle Anderson 
10,A/AntetGi01,Giannis Antetokounmpo 
11,A/AntetTh01,Thanasis Antetokounmpo 
12,A/AnthoCa01,Carmelo Anthony 
13,A/AnthoCo01,Cole Anthony 
14,A/AnunoOG01,OG Anunoby 
15,A/ArizaTr01,Trevor Ariza 
16,A/AugusDj01,D.J. Augustin 
17,A/AvdijDe01,Deni Avdija 
18,A/AytonDe01,Deandre Ayton 
19,A/AzubuUd01,Udoka Azubuike 
20,B/BaconDw01,Dwayne Bacon 
21,B/BagleMa01,Marvin Bagley III 
22,B/BallLa01,LaMelo Ball 
23,B/BallLo01,Lonzo Ball 
24,B/BambaMo01,Mo Bamba 
25,B/BaneDe01,Desmond Bane 
26,B/BarneHa02,Harrison Barnes 
27,B/BarreRJ01,RJ Barrett 
28,B/BartoWi01,Will Barton 
29,B/BatesKe01,Keita Bates-Diop 
30,B/BatumNi01,Nicolas Batum 
31,B/BazemKe01,Kent Bazemore 
32,B/BazleDa01,Darius Bazley 
33,B/BealBr01,Bradley Beal 
34,B/BeaslMa01,Malik Beasley 
35,B/BembrDe01,DeAndre' Bembry 
36,B/BertaDa01,Dāvis Bertāns 
37,B/BeverPa01,Patrick Beverley 
38,B/BeySa01,Saddiq Bey 
39,B/BeyTy01,Tyler Bey 
40,B/BirchKh01,Khem Birch 
41,B/BitadGo01,Goga Bitadze 
42,B/BjeliNe01,Nemanja Bjelica 
43,B/BledsEr01,Eric Bledsoe 
44,B/BogdaBo01,Bogdan Bogdanović 
45,B/BogdaBo02,Bojan Bogdanović 
46,B/BolBo01,Bol Bol 
47,B/BongaIs01,Isaac Bonga 
48,B/BookeDe01,Devin Booker 
49,B/BouchCh01,Chris Boucher 
50,B/BradlTo01,Tony Bradley 
51,B/BrantJa01,Jarrell Brantley 
52,B/BrazdIg01,Ignas Brazdeikis 
53,B/BridgMi01,Mikal Bridges 
54,B/BridgMi02,Miles Bridges 
55,B/BrissOs01,Oshae Brissett 
56,B/BrogdMa01,Malcolm Brogdon 
57,B/BrookAr01,Armoni Brooks 
58,B/BrookDi01,Dillon Brooks 
59,B/BrownBr01,Bruce Brown 
60,B/BrownCh02,Charlie Brown 
61,B/BrownJa02,Jaylen Brown 
62,B/BrownMo01,Moses Brown 
63,B/BrownSt02,Sterling Brown 
64,B/BrownTr01,Troy Brown Jr. 
65,B/BrunsJa01,Jalen Brunson 
66,B/BryanEl01,Elijah Bryant 
67,B/BryanTh01,Thomas Bryant 
68,B/BulloRe01,Reggie Bullock 
69,B/BurkeTr01,Trey Burke 
70,B/BurksAl01,Alec Burks 
71,B/ButleJi01,Jimmy Butler 
72,C/CaldwKe01,Kentavious Caldwell-Pope 
73,C/CampaFa01,Facundo Campazzo 
74,C/CancaVl01,Vlatko Čančar 
75,C/CapelCa01,Clint Capela 
76,C/CareyVe01,Vernon Carey Jr. 
77,C/CarteJe01,Jevon Carter 
78,C/CarteWe01,Wendell Carter Jr. 
79,C/CarteMi01,Michael Carter-Williams 
80,C/CarusAl01,Alex Caruso 
81,C/CauleWi01,Willie Cauley-Stein 
82,C/ChiozCh01,Chris Chiozza 
83,C/ChrisMa01,Marquese Chriss 
84,C/ClarkBr01,Brandon Clarke 
85,C/ClarkJo01,Jordan Clarkson 
86,C/ClaxtNi01,Nicolas Claxton 
87,C/CoffeAm01,Amir Coffey 
88,C/ColliJo01,John Collins 
89,C/ConleMi01,Mike Conley 
90,C/ConnaPa01,Pat Connaughton 
91,C/CookTy01,Tyler Cook 
92,C/CovinRo01,Robert Covington 
93,C/CraigTo01,Torrey Craig 
94,C/CrowdJa01,Jae Crowder 
95,C/CulveJa01,Jarrett Culver 
96,C/CurrySe01,Seth Curry 
97,C/CurrySt01,Stephen Curry 
98,D/DavisAn02,Anthony Davis 
99,D/DavisTe02,Terence Davis 
100,D/DeckGa01,Gabriel Deck 
101,D/DedmoDe01,Dewayne Dedmon 
102,D/DeRozDe01,DeMar DeRozan 
103,D/DiakiMa01,Mamadi Diakite 
104,D/DiallHa01,Hamidou Diallo 
105,D/DiengGo01,Gorgui Dieng 
106,D/DinwiSp01,Spencer Dinwiddie 
107,D/DiVinDo01,Donte DiVincenzo 
108,D/DonciLu01,Luka Dončić 
109,D/DortLu01,Luguentz Dort 
110,D/DotsoDe01,Devon Dotson 
111,D/DoumbSe01,Sekou Doumbouya 
112,D/DoziePj01,PJ Dozier 
113,D/DragiGo01,Goran Dragić 
114,D/DrummAn01,Andre Drummond 
115,D/DunnKr01,Kris Dunn 
116,D/DuranKe01,Kevin Durant 
117,E/EdwarAn01,Anthony Edwards 
118,E/EdwarCa01,Carsen Edwards 
119,E/EllebCj01,CJ Elleby 
120,E/EllinWa01,Wayne Ellington 
121,E/EmbiiJo01,Joel Embiid 
122,E/EubanDr01,Drew Eubanks 
123,F/FallTa01,Tacko Fall 
124,F/FavorDe01,Derrick Favors 
125,F/FernaBr01,Bruno Fernando 
126,F/FinneDo01,Dorian Finney-Smith 
127,F/FlynnMa01,Malachi Flynn 
128,F/ForbeBr01,Bryn Forbes 
129,F/ForreTr01,Trent Forrest 
130,F/FournEv01,Evan Fournier 
131,F/FoxDe01,De'Aaron Fox 
132,F/FultzMa01,Markelle Fultz 
133,G/GabriWe01,Wenyen Gabriel 
134,G/GaffoDa01,Daniel Gafford 
135,G/GalliDa01,Danilo Gallinari 
136,G/GarlaDa01,Darius Garland 
137,G/GayRu01,Rudy Gay 
138,G/GeorgPa01,Paul George 
139,G/GibsoTa01,Taj Gibson 
140,G/GilesHa01,Harry Giles 
141,G/GilgeSh01,Shai Gilgeous-Alexander 
142,G/GillAn01,Anthony Gill 
143,G/GilleFr01,Freddie Gillespie 
144,G/GoberRu01,Rudy Gobert 
145,G/GordoAa01,Aaron Gordon 
146,G/GordoEr01,Eric Gordon 
147,G/GrahaDe01,Devonte' Graham 
148,G/GrantJe01,Jerami Grant 
149,G/GreenDa02,Danny Green 
150,G/GreenDr01,Draymond Green 
151,G/GreenJa01,JaMychal Green 
152,G/GreenJa02,Javonte Green 
153,G/GreenJe02,Jeff Green 
154,G/GreenJo02,Josh Green 
155,G/GriffBl01,Blake Griffin 
156,H/HachiRu01,Rui Hachimura 
157,H/HalibTy01,Tyrese Haliburton 
158,H/HamptRj01,R.J. Hampton 
159,H/HardaTi02,Tim Hardaway Jr. 
160,H/HardeJa01,James Harden 
161,H/HarklMa01,Maurice Harkless 
162,H/HarpeJa01,Jared Harper 
163,H/HarreMo01,Montrezl Harrell 
164,H/HarriGa01,Gary Harris 
165,H/HarriJo01,Joe Harris 
166,H/HarriTo02,Tobias Harris 
167,H/HartJo01,Josh Hart 
168,H/HarteIs01,Isaiah Hartenstein 
169,H/HasleUd01,Udonis Haslem 
170,H/HayesJa02,Jaxson Hayes 
171,H/HayesKi01,Killian Hayes 
172,H/HaywaGo01,Gordon Hayward 
173,H/HernaJu01,Juan Hernangómez 
174,H/HernaWi01,Willy Hernangómez 
175,H/HerroTy01,Tyler Herro 
176,H/HieldBu01,Buddy Hield 
177,H/HillGe01,George Hill 
178,H/HillSo01,Solomon Hill 
179,H/HintoNa01,Nate Hinton 
180,H/HolidAa01,Aaron Holiday 
181,H/HolidJr01,Jrue Holiday 
182,H/HolidJu01,Justin Holiday 
183,H/HolmeRi01,Richaun Holmes 
184,H/HoodRo01,Rodney Hood 
185,H/HorfoAl01,Al Horford 
186,H/HortoTa01,Talen Horton-Tucker 
187,H/HouseDa01,Danuel House 
188,H/HowarDw01,Dwight Howard 
189,H/HowarMa02,Markus Howard 
190,H/HuertKe01,Kevin Huerter 
191,H/HugheEl01,Elijah Hughes 
192,H/HunteDe01,De'Andre Hunter 
193,H/HutchCh01,Chandler Hutchison 
194,I/IbakaSe01,Serge Ibaka 
195,I/IguodAn01,Andre Iguodala 
196,I/IngleJo01,Joe Ingles 
197,I/IngraBr01,Brandon Ingram 
198,I/IrvinKy01,Kyrie Irving 
199,I/IwundWe01,Wesley Iwundu 
200,J/JacksFr01,Frank Jackson 
201,J/JacksJo02,Josh Jackson 
202,J/JacksRe01,Reggie Jackson 
203,J/JacksJa02,Jaren Jackson Jr. 
204,J/JamesLe01,LeBron James 
205,J/JeromTy01,Ty Jerome 
206,J/JoeIs01,Isaiah Joe 
207,J/JohnsAl02,Alize Johnson 
208,J/JohnsCa02,Cameron Johnson 
209,J/JohnsJa01,James Johnson 
210,J/JohnsKe04,Keldon Johnson 
211,J/JohnsSt04,Stanley Johnson 
212,J/JokicNi01,Nikola Jokić 
213,J/JonesDa03,Damian Jones 
214,J/JonesTr01,Tre Jones 
215,J/JonesTy01,Tyus Jones 
216,J/JonesDe02,Derrick Jones Jr. 
217,J/JordaDe01,DeAndre Jordan 
218,J/JosepCo01,Cory Joseph 
219,K/KabenMf01,Mfiondu Kabengele 
220,K/KaminFr01,Frank Kaminsky 
221,K/KanteEn01,Enes Kanter 
222,K/KennaLu01,Luke Kennard 
223,K/KingLo02,Louis King 
224,K/KlebiMa01,Maxi Kleber 
225,K/KnighNa01,Nathan Knight 
226,K/KnoxKe01,Kevin Knox 
227,K/KonchJo01,John Konchar 
228,K/KorkmFu01,Furkan Korkmaz 
229,K/KorneLu01,Luke Kornet 
230,K/KuzmaKy01,Kyle Kuzma 
231,L/LambAn01,Anthony Lamb 
232,L/LambJe01,Jeremy Lamb 
233,L/LangfRo01,Romeo Langford 
234,L/LaVinZa01,Zach LaVine 
235,L/LaymaJa01,Jake Layman 
236,L/LeeDa03,Damion Lee 
237,L/LeeSa01,Saben Lee 
238,L/LenAl01,Alex Len 
239,L/LeonaKa01,Kawhi Leonard 
240,L/LeVerCa01,Caris LeVert 
241,L/LewisKi01,Kira Lewis Jr. 
242,L/LillaDa01,Damian Lillard 
243,L/LittlNa01,Nassir Little 
244,L/LooneKe01,Kevon Looney 
245,L/LopezBr01,Brook Lopez 
246,L/LopezRo01,Robin Lopez 
247,L/Louzama01,Didi Louzada 
248,L/LoveKe01,Kevin Love 
249,L/LowryKy01,Kyle Lowry 
250,L/LuwawTi01,Timothé Luwawu-Cabarrot 
251,L/LylesTr01,Trey Lyles 
252,M/MaledTh01,Théo Maledon 
253,M/MannTe01,Terance Mann 
254,M/MarjaBo01,Boban Marjanović 
255,M/MarkkLa01,Lauri Markkanen 
256,M/MarshNa01,Naji Marshall 
257,M/MartiCa02,Caleb Martin 
258,M/MartiCo01,Cody Martin 
259,M/MartiKe03,Kelan Martin 
260,M/MartiKe04,Kenyon Martin Jr. 
261,M/MaxeyTy01,Tyrese Maxey 
262,M/MaysSk01,Skylar Mays 
263,M/McColCj01,CJ McCollum 
264,M/McConTj01,T.J. McConnell 
265,M/McDanJa01,Jalen McDaniels 
266,M/McDerDo01,Doug McDermott 
267,M/McGeeJa01,JaVale McGee 
268,M/McGruRo01,Rodney McGruder 
269,M/McLauJo01,Jordan McLaughlin 
270,M/McLemBe01,Ben McLemore 
271,M/MeltoDe01,De'Anthony Melton 
272,M/MerriSa01,Sam Merrill 
273,M/MetuCh01,Chimezie Metu 
274,M/MiddlKh01,Khris Middleton 
275,M/MillsPa01,Paul Millsap 
276,M/MiltoSh01,Shake Milton 
277,M/MitchDo01,Donovan Mitchell 
278,M/MonkMa01,Malik Monk 
279,M/MooreEt01,E'Twaun Moore 
280,M/MoranJa01,Ja Morant 
281,M/MorgaJu01,Juwan Morgan 
282,M/MorriMa02,Markieff Morris 
283,M/MorriMa03,Marcus Morris 
284,M/MorriMo01,Monte Morris 
285,M/MuldeMy01,Mychal Mulder 
286,M/MurraDe01,Dejounte Murray 
287,M/MurraJa01,Jamal Murray 
288,M/MuscaMi01,Mike Muscala 
289,M/MykhaSv01,Sviatoslav Mykhailiuk 
290,N/NaderAb01,Abdel Nader 
291,N/NanceLa02,Larry Nance Jr. 
292,N/NesmiAa01,Aaron Nesmith 
293,N/NetoRa01,Raul Neto 
294,N/NiangGe01,Georges Niang 
295,N/NnajiZe01,Zeke Nnaji 
296,N/NoelNe01,Nerlens Noel 
297,N/NowelJa01,Jaylen Nowell 
298,N/NunnKe01,Kendrick Nunn 
299,N/NurkiJu01,Jusuf Nurkić 
300,N/NwabaDa01,David Nwaba 
301,N/NworaJo01,Jordan Nwora 
302,O/OjeleSe01,Semi Ojeleye 
