,index_x,PlayerName,Average,StandardDeviation,Average_STD_Ratio,GamesPlayed,level_0,index_y,Unnamed: 0,Name,Pos.,Height,From,To,Seasons
0,0,Russell Westbrook,56.608036624452716,12.606391760416328,4.490423405863061,63,494,494,14,Russell Westbrook,PG/SG,1.91/ 6'3'',2008,2021,13
1,1,Ty Jerome,55.25293653379729,21.725725136278815,2.543203330945805,32,239,239,7,Ty Jerome,PG/SG,1.96/ 6'5'',2019,2021,2
2,3,Kevin Porter Jr.,53.5538728908041,33.74213436000979,1.5871513141229918,26,389,389,13,Kevin Porter Jr.,SG/PG,1.93/ 6'4'',2019,2021,2
3,4,Kelly Olynyk,53.444172366069814,21.305469012431455,2.508471995377612,70,369,369,9,Kelly Olynyk,C/PF,2.11/ 6'11'',2013,2021,8
4,5,Mason Plumlee,53.20054691904507,19.662143624320198,2.705734834183647,55,384,384,8,Mason Plumlee,C,2.11/ 6'11'',2013,2021,8
5,6,T.J. McConnell,52.87896863152652,20.38147319980341,2.5944625353203894,68,314,314,15,T.J. McConnell,PG,1.85/ 6'1'',2015,2021,6
6,7,Al Horford,52.34848050132992,18.573917052994545,2.818386684508755,27,214,214,33,Al Horford,C/PF,2.06/ 6'9'',2007,2021,14
7,8,Trevor Ariza,52.32660797691189,25.546529281072385,2.048286379773751,29,16,16,16,Trevor Ariza,SF/PF,2.03/ 6'8'',2004,2021,17
8,9,Thaddeus Young,52.3227186311318,17.032881269418723,3.0718653998412684,67,516,516,0,Thaddeus Young,PF/C,2.03/ 6'8'',2007,2021,14
9,10,Domantas Sabonis,52.24231345365093,13.496252704300948,3.870875464342965,61,422,422,0,Domantas Sabonis,PF/C,2.11/ 6'11'',2016,2021,5
10,11,Nicolas Claxton,52.058003434011496,25.725604084355666,2.0235872115309887,31,97,97,17,Nicolas Claxton,C/PF,2.11/ 6'11'',2019,2021,2
11,12,Darius Garland,52.00313659659028,17.933510506114157,2.8997745075544805,52,155,155,3,Darius Garland,PG,1.85/ 6'1'',2019,2021,2
12,13,Cody Zeller,52.00184181763717,23.813775295245478,2.1836874318713995,46,519,519,0,Cody Zeller,C,2.13/ 7'0'',2013,2021,8
13,14,Cameron Payne,51.83032066295594,28.127788739245787,1.8426731352201455,56,381,381,5,Cameron Payne,PG,1.91/ 6'3'',2015,2021,6
14,15,James Harden,51.82177265345152,15.166004890649061,3.4169692695670557,44,185,185,4,James Harden,PG/SG,1.96/ 6'5'',2009,2021,12
15,17,Dewayne Dedmon,51.806141090355986,22.64133830753383,2.2881218586410887,15,116,116,3,Dewayne Dedmon,C,2.13/ 7'0'',2013,2021,8
16,18,Julius Randle,51.73006136274692,12.029229065146849,4.300363812393277,69,402,402,1,Julius Randle,PF,2.03/ 6'8'',2014,2021,7
17,19,Jaylen Brown,51.72147201416141,12.863433021748287,4.020814033603283,53,68,68,46,Jaylen Brown,SF/SG,1.98/ 6'6'',2016,2021,5
18,20,Clint Capela,51.65868279492501,16.559664873457127,3.1195488066746324,61,84,84,4,Clint Capela,C,2.08/ 6'10'',2014,2021,7
19,21,Kemba Walker,51.63489455775357,13.231222666150407,3.902503635574944,40,484,484,4,Kemba Walker,PG,1.83/ 6'0'',2011,2021,10
20,23,Donovan Mitchell,51.52115792116944,11.956452062411792,4.309067409983565,52,331,331,32,Donovan Mitchell,SG/PG,1.85/ 6'1'',2017,2021,4
21,24,Oshae Brissett,51.52059655289288,39.747383179844235,1.2962009679927509,20,61,61,39,Oshae Brissett,PF,2.01/ 6'7'',2019,2021,2
22,26,Stephen Curry,51.476465977117954,11.923489317105052,4.317231693517055,63,112,112,32,Stephen Curry,PG,1.91/ 6'3'',2009,2021,12
23,27,Robert Williams,51.46993530246498,25.270094768413177,2.036792333948853,47,505,505,25,Robert Williams,C,2.03/ 6'8'',2018,2021,3
24,28,Jimmy Butler,51.466417998402264,13.786499700483501,3.73310260882226,52,79,79,57,Jimmy Butler,SF/PF,2.01/ 6'7'',2011,2021,10
25,29,Giannis Antetokounmpo,51.46432368816526,13.208124186738724,3.896414279617138,58,11,11,11,Giannis Antetokounmpo,PF,2.11/ 6'11'',2013,2021,8
26,30,Jalen Brunson,51.4517985605798,21.938974483559512,2.345223501633425,67,72,72,50,Jalen Brunson,PG/SG,1.85/ 6'1'',2018,2021,3
27,31,Jrue Holiday,51.43833705660506,15.35430099086568,3.350093051269861,55,209,209,28,Jrue Holiday,PG/SG,1.91/ 6'3'',2009,2021,12
28,32,Lonzo Ball,51.39934779340111,18.70723902841359,2.7475646040194888,54,25,25,3,Lonzo Ball,PG,1.98/ 6'6'',2017,2021,4
29,33,JaVale McGee,51.3786653341567,24.39441957291417,2.10616469806086,45,318,318,19,JaVale McGee,C,2.13/ 7'0'',2008,2021,13
30,34,Malcolm Brogdon,51.37161537188425,16.063620014107837,3.1980098711727027,55,62,62,40,Malcolm Brogdon,PG/SG,1.96/ 6'5'',2016,2021,5
