"fantasyPointsRank","playerName","teamName","position","byeWeek","games","fantasyPoints","passComp","passAtt","passYds","passTd","passInt","passSacked","rushAtt","rushYds","rushTd","recvTargets","recvReceptions","recvYds","recvTd","fumbles","fumblesLost","twoPt","returnYds","returnTd","fgMade019","fgAtt019","fgMade2029","fgAtt2029","fgMade3039","fgAtt3039","fgMade4049","fgAtt4049","fgMade50plus","fgAtt50plus","patMade","patAtt","dstSacks","dstSafeties","dstInt","dstFumblesForced","dstFumblesRecovered","dstTd","dstReturnYds","dstReturnTd","dstPts0","dstPts16","dstPts713","dstPts1420","dstPts2127","dstPts2834","dstPts35plus","idpTacklesSolo","idpTacklesAssist","idpSacks","idpTacklesForLoss","idpPassDefended","idpInt","idpFumblesForced","idpFumblesRecovered","idpSafeties","idpTd"
"1","Christian McCaffrey","CAR","rb","13","MIN","21.5","0","0","0","0","0","0","17.3321","76.3043","0.6669","6.134","5.0059","36.6943","0.1996","0.1338","0.0669","0.0326","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2","Najee Harris","PIT","rb","7","SEA","18.8","0","0","0","0","0","0","18.3167","72.5157","0.43","5.7496","4.5199","33.9207","0.1804","0.176","0.088","0.0221","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"3","Tyreek Hill","KC","wr","12","@WAS","21","0","0","0","0","0","0","0.4635","2.1152","0.0248","9.4789","6.6377","97.5931","0.7074","0.0501","0.025","0.0074","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"4","Derrick Henry","TEN","rb","13","BUF","17.5","0","0","0","0","0","0","20.4877","97.3988","0.6645","2.4443","2.031","14.3527","0.0604","0.2253","0.1127","0.0362","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"5","Aaron Jones","GB","rb","13","@CHI","17.5","0","0","0","0","0","0","15.8691","70.8854","0.6467","4.0731","3.2618","24.6942","0.1417","0.1852","0.0926","0.0033","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"6","Jonathan Taylor","IND","rb","14","HST","17.3","0","0","0","0","0","0","16.3089","76.875","0.7424","3.118","2.6559","18.1293","0.1205","0.1007","0.0503","0.0064","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"7","Davante Adams","GB","wr","13","@CHI","20.5","0","0","0","0","0","0","0.0254","0.1138","0.0009","10.5902","7.5517","90.613","0.6478","0.0876","0.0438","0.0121","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"8","Dalvin Cook","MIN","rb","7","@CAR","17.1","0","0","0","0","0","0","16.4463","74.3432","0.6218","3.8587","3.2411","21.951","0.0931","0.2519","0.126","0.0292","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"9","Cooper Kupp","LA","wr","11","@NYG","20.1","0","0","0","0","0","0","0.377","1.9285","0.0134","9.8729","7.4338","87.5767","0.6202","0.136","0.068","0.0122","14.7502","0.029","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10","Travis Kelce","KC","te","12","@WAS","17.3","0","0","0","0","0","0","0","0","0","8.2197","5.9251","75.736","0.6294","0.0471","0.0236","0.0169","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"11","Ja'Marr Chase","CIN","wr","10","@DET","19.7","0","0","0","0","0","0","0.236","1.4347","0.0074","8.5053","5.9652","93.5488","0.6996","0.064","0.032","0.0191","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"12","D'Andre Swift","DET","rb","9","CIN","16.3","0","0","0","0","0","0","11.2182","48.2865","0.3578","6.0398","4.9713","34.6917","0.1648","0.1551","0.0775","0.0111","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"13","Darrell Henderson","LA","rb","11","@NYG","16.2","0","0","0","0","0","0","16.9646","73.2523","0.6307","3.187","2.558","19.3151","0.109","0.0989","0.0495","0.0156","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"14","Stefon Diggs","BUF","wr","7","@TEN","18.6","0","0","0","0","0","0","0.091","0.4095","0.0028","8.9142","6.3817","86.5978","0.5951","0.0951","0.0475","0.0057","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
